date,nav,scheme_code,scheme_name,fund_house
2015-04-24,30.2416,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-23,30.9662,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-22,31.0468,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-21,31.0267,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-20,31.0796,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-17,31.798,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-16,31.9168,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-15,31.8726,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-13,31.7364,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-10,31.3292,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-09,31.2433,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-08,30.8106,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-07,30.2953,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-06,30.1584,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-01,29.7949,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-31,29.3347,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-30,29.2627,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-27,28.5473,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-26,28.4267,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-25,28.8366,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-24,28.8295,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-23,28.911,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-20,29.392,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-19,29.8192,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-18,30.0143,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-17,30.0579,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-16,30.179,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-13,30.2599,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-12,30.686,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-11,30.4375,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-10,30.3725,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-09,30.4317,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-05,30.6428,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-04,30.6349,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-03,30.8045,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-03-02,30.5216,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-27,30.2262,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-26,29.9507,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-25,30.1089,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-24,30.2175,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-23,30.3222,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-20,30.6869,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-19,30.6178,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-18,30.6868,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-16,30.5344,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-13,30.2844,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-12,30.2611,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-11,29.9083,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-10,29.5782,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-09,29.397,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-06,29.7377,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-05,30.2614,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-04,30.6731,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-03,30.7745,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-02-02,30.6145,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-30,30.5936,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-29,30.7497,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-28,30.7898,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-27,30.5724,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-23,30.4927,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-22,30.7123,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-21,30.714,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-20,30.8184,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-19,30.5172,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-16,29.7293,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-15,29.6991,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-14,29.5028,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-13,29.4388,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-12,29.4713,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-09,29.2834,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-08,29.2325,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-07,28.7345,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-06,28.566,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-05,29.3031,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-02,29.4253,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-01-01,29.3671,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-31,29.2084,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-30,28.5876,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-29,28.1163,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-26,27.5386,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-24,27.4695,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-23,27.4262,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-22,27.439,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-19,27.1556,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-18,27.0853,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-17,26.2936,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-16,26.791,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-15,27.3527,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-12,27.4434,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-11,27.739,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-10,27.2901,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-09,27.0266,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-08,27.5153,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-05,27.3359,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-04,27.342,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-03,27.0697,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-02,26.5928,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-12-01,26.2093,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-28,26.2402,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-27,26.0216,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-26,25.6618,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-25,25.3911,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-24,25.896,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-21,25.9891,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-20,25.8923,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-19,26.0641,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-18,26.0028,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-17,25.74,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-14,25.4694,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-13,25.3732,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-12,25.2255,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-11,24.92,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-10,24.7095,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-07,24.567,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-05,24.6593,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-11-03,24.5647,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-31,24.3031,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-30,24.2267,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-29,24.2092,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-28,24.0775,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-27,23.9115,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-22,23.8185,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-21,23.54,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-20,23.3913,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-17,23.3519,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-16,23.2763,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-14,23.7147,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-13,23.8232,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-10,23.7407,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-09,24.0814,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-08,24.0609,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-07,23.9234,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-10-01,24.1597,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-30,24.2982,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-29,23.9932,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-26,23.6912,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-25,23.6113,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-24,24.1531,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-23,24.5235,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-22,24.9688,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-19,24.6537,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-18,24.5974,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-17,24.2051,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-16,24.0716,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-15,24.7489,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-12,24.6248,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-11,24.41,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-10,23.8862,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-09,23.6853,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-08,23.31,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-05,22.9624,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-04,22.8661,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-03,22.842,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-02,22.6476,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-09-01,22.5292,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-28,22.1709,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-27,22.0752,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-26,21.6681,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-25,21.7299,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-22,21.898,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-21,21.8125,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-20,21.5099,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-19,21.1964,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-18,20.9437,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2014-08-14,20.6268,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
